admission_rate,sat_score,cost_attendance,income_avg,income_med,size,lat,lon,city,name,ownership,region,state,locale_type,locale_size
0.6229,1133.0,41431.0,76608.0,64915.0,2685.0,34.5152,-82.640358,Anderson,Anderson University,private non-profit,southeast,SC,city,small
0.6105,1353.0,63551.0,109524.0,83896.0,2731.0,34.924676,-82.440458,Greenville,Furman University,private non-profit,southeast,SC,suburb,large
0.5364,1062.0,35493.0,50107.0,37260.0,1179.0,34.728068,-82.761586,Central,Southern Wesleyan University,private non-profit,southeast,SC,suburb,large
0.5640000000000001,984.0,32529.0,35314.0,25693.0,2043.0,33.498444,-80.854319,Orangeburg,Claflin University,private non-profit,southeast,SC,town,medium
0.6306,1287.0,26841.0,94373.0,74190.0,26300.0,33.996788,-81.026935,Columbia,University of South Carolina-Columbia,public,southeast,SC,city,medium
0.5324,929.0,29695.0,29641.0,22852.0,2415.0,33.497968,-80.848722,Orangeburg,South Carolina State University,public,southeast,SC,town,medium
0.8811,1104.0,20148.0,64134.0,52170.0,1451.0,45.450829,-98.484728,Aberdeen,Northern State University,public,plains,SD,town,small
0.7126,1138.0,24836.0,60421.0,50581.0,748.0,35.937193,-83.75027299999999,Knoxville,Johnson University,private non-profit,southeast,TN,rural,large
0.5813,1094.0,40864.0,44572.0,35279.0,1539.0,36.585309,-82.159421,Bristol,King University,private non-profit,southeast,TN,city,small
0.6358,1298.0,57551.0,119184.0,92257.0,1659.0,34.959411,-81.933568,Spartanburg,Wofford College,private non-profit,southeast,SC,city,small
0.9243,1149.0,22609.0,81413.0,73000.0,9314.0,44.317485,-96.782139,Brookings,South Dakota State University,public,plains,SD,town,small
0.6542,1230.0,45145.0,92395.0,83402.0,1752.0,43.525148,-96.736975,Sioux Falls,Augustana University,private non-profit,plains,SD,city,medium
0.8919,1176.0,30095.0,64091.0,49230.0,4258.0,35.166019,-84.871399,Cleveland,Lee University,private non-profit,southeast,TN,city,small
0.8832000000000001,1084.0,19777.0,60509.0,51046.0,2563.0,44.494889,-103.870966,Spearfish,Black Hills State University,public,plains,SD,town,medium
0.5452,1189.0,47873.0,60228.0,44952.0,1106.0,35.751505,-83.964223,Maryville,Maryville College,private non-profit,southeast,TN,suburb,large
,,25678.0,29130.0,20000.0,587.0,32.871008,-96.76782299999999,Dallas,Miami International University of Art & Design-Art Institute Dallas,private for-profit,southwest,TX,city,large
0.7002,1120.0,41722.0,54440.0,38544.0,2311.0,29.693819,-95.515954,Houston,Houston Baptist University,private non-profit,southwest,TX,city,large
0.8265,,57461.0,127091.0,111919.0,1655.0,44.494558,-73.167069,Colchester,Saint Michael's College,private non-profit,new england,VT,suburb,medium
,,32402.0,19087.0,13120.0,125.0,40.269691,-111.713264,Orem,Stevens-Henager College,private non-profit,rocky mountains,UT,city,small
0.9804,1003.0,30334.0,41946.0,32295.0,3169.0,34.187677,-101.730042,Plainview,Wayland Baptist University,private non-profit,southwest,TX,town,small
0.5703,,70760.0,99072.0,75360.0,720.0,42.919547,-73.237799,Bennington,Bennington College,private non-profit,new england,VT,town,medium
1.0,,29115.0,32437.0,17619.0,180.0,44.279087,-72.438388,Plainfield,Goddard College,private non-profit,new england,VT,rural,medium
0.8424,,23662.0,49487.0,39363.0,2099.0,44.641736,-72.671154,Johnson,Northern Vermont University,public,new england,VT,rural,medium
0.5897,,55625.0,75768.0,47876.0,140.0,42.839603,-72.736552,Marlboro,Marlboro College,private non-profit,new england,VT,rural,medium
0.7249,1154.0,58293.0,101020.0,82237.0,1981.0,37.294861,-80.055467,Salem,Roanoke College,private non-profit,southeast,VA,suburb,medium
1.0,1155.0,36835.0,53063.0,46370.0,60.0,40.24044,-94.682831,Conception,Conception Seminary College,private non-profit,plains,MO,rural,medium
0.5918,997.0,33697.0,54618.0,36615.0,1440.0,39.108522,-93.190654,Marshall,Missouri Valley College,private non-profit,plains,MO,town,small
1.0,,27170.0,50157.0,38003.0,698.0,37.225116,-93.290233,Springfield,Cox College,private non-profit,plains,MO,city,medium
0.6707000000000001,1117.0,18268.0,47624.0,37276.0,259.0,38.839578,-94.547927,Kansas City,Calvary University,private non-profit,plains,MO,city,large
0.7784000000000001,1244.0,26259.0,96072.0,76951.0,22030.0,38.94531,-92.328843,Columbia,University of Missouri-Columbia,public,plains,MO,city,medium
0.8497,1169.0,21062.0,63829.0,48636.0,16948.0,37.199258,-93.281281,Springfield,Missouri State University-Springfield,public,plains,MO,city,medium
0.5753,1304.0,56344.0,101081.0,77915.0,6917.0,38.636801,-90.2351,Saint Louis,Saint Louis University,private non-profit,plains,MO,city,large
0.7255,1179.0,22810.0,45677.0,29513.0,7136.0,38.710312,-90.311091,Saint Louis,University of Missouri-St Louis,public,plains,MO,suburb,large
0.33330000000000004,1061.0,20235.0,39810.0,28499.0,70.0,38.775771,-90.294569,Florissant,Saint Louis Christian College,private non-profit,plains,MO,suburb,large
