2020-05-13 12:00:54.392837,89.6k,295,1646
2020-05-14 12:00:32.181320,89.6k,295,1646
2020-05-15 12:00:30.208964,89.6k,295,1646
2020-05-16 12:00:29.638911,89.7k,295,1647
2020-05-17 12:00:32.081776,89.7k,295,1648
2020-05-18 12:00:31.528152,89.7k,295,1648
2020-05-19 12:00:30.614609,89.7k,295,1648
2020-05-20 12:00:30.255559,89.8k,295,1648
2020-05-21 12:00:31.941357,89.8k,295,1648
2020-05-23 12:00:29.881836,89.8k,295,1649
2020-05-24 12:00:30.459808,89.9k,295,1649
2020-05-25 12:00:37.954388,89.9k,295,1650
2020-05-26 12:00:32.703277,89.9k,295,1650
2020-05-27 12:00:32.203121,89.9k,295,1650
2020-05-28 12:00:30.979381,89.9k,295,1650
2020-05-29 12:00:34.206361,90k,295,1650
2020-05-30 12:00:34.078120,90k,295,1650
2020-05-31 12:00:35.072016,90k,295,1650
2020-06-01 12:00:33.023169,90k,295,1650
2020-06-02 12:00:37.071473,90k,295,1650
2020-06-03 12:00:44.695208,90k,295,1651
2020-06-05 12:00:33.503561,90.1k,295,1651
2020-06-06 12:00:32.816763,90.1k,295,1651
2020-06-07 12:00:33.854235,90.1k,295,1651
2020-06-08 12:00:37.869671,90.2k,295,1651
2020-06-09 12:00:37.817213,90.2k,295,1651
2020-06-10 12:00:35.461043,90.2k,295,1651
2020-06-11 12:00:33.677784,90.2k,295,1651
2020-06-12 12:00:36.712117,90.3k,295,1651
2020-06-13 12:00:31.713238,90.3k,295,1651
2020-06-14 12:00:32.157382,90.3k,295,1651
2020-06-15 12:00:33.465252,90.3k,295,1651
2020-06-16 12:00:41.235097,90.3k,296,1651
2020-06-17 12:00:40.808507,90.3k,315,1651
2020-06-18 12:00:37.252805,90.4k,315,1651
2020-06-19 12:00:35.981053,90.4k,315,1651
2020-06-20 12:00:43.089471,90.4k,320,1651
2020-06-21 12:01:03.005183,90.4k,320,1652
2020-06-22 12:00:36.313467,90.4k,320,1652
2020-06-23 12:00:40.743039,90.5k,320,1652
2020-06-24 12:00:36.354686,90.5k,320,1653
2020-06-25 12:00:36.864908,90.5k,321,1654
2020-06-26 12:00:36.630112,90.5k,321,1654
2020-06-27 12:00:42.191656,90.5k,321,1654
2020-06-28 12:00:32.273329,90.5k,321,1654
2020-06-29 12:00:33.336028,90.6k,321,1654
2020-06-30 12:00:39.930482,90.6k,320,1654
2020-07-01 12:00:44.245964,90.6k,320,1654
2020-07-02 12:00:38.220630,90.6k,321,1655
2020-07-03 12:00:42.438541,90.6k,321,1655
2020-07-04 12:00:34.524074,90.7k,321,1656
2020-07-05 12:00:34.639514,90.7k,321,1656
2020-07-06 12:00:38.218624,90.7k,321,1656
2020-07-07 12:00:37.809934,90.7k,321,1656
2020-07-08 12:00:31.424377,90.8k,336,1656
2020-07-09 12:00:36.093663,90.8k,336,1656
2020-07-10 12:00:35.528520,90.8k,342,1656
2020-07-11 12:00:31.091914,90.9k,342,1656
2020-07-12 12:00:32.062297,90.9k,342,1656
2020-07-13 12:00:34.498879,90.9k,342,1656
2020-07-14 12:00:35.394884,90.9k,342,1656
2020-07-15 12:00:34.844007,91k,342,1656
2020-07-16 12:00:51.063126,91k,342,1656
2020-07-17 12:00:36.748858,91k,342,1658
2020-07-18 12:00:33.078350,91k,342,1658
2020-07-19 12:00:33.217097,91k,342,1659
2020-07-20 12:00:33.910832,91.1k,342,1659
2020-07-21 12:00:35.884038,91.1k,342,1660
2020-07-22 12:00:34.784013,91.1k,342,1660
2020-07-23 12:00:35.525289,91.2k,342,1661
2020-07-24 12:00:33.847472,91.2k,343,1662
2020-07-25 12:00:37.225411,91.3k,343,1662
2020-07-26 12:00:34.615308,91.3k,343,1662
2020-07-27 12:00:33.114554,91.4k,343,1662
2020-07-28 12:00:39.538557,91.4k,343,1662
2020-07-29 12:00:38.556173,91.4k,343,1663
2020-07-30 12:00:43.392773,91.4k,343,1663
2020-07-31 12:00:38.485670,91.4k,343,1663
2020-08-01 12:00:34.881377,91.5k,343,1663
2020-08-02 12:00:34.066876,91.5k,343,1663
2020-08-03 12:00:42.840167,91.6k,343,1663
2020-08-05 12:00:35.349139,91.7k,343,1664
2020-08-06 12:00:43.083058,91.8k,343,1665
2020-08-07 12:00:34.693152,91.9k,343,1666
2020-08-08 12:00:34.376608,92k,343,1666
2020-08-09 12:00:35.900836,92k,343,1666
2020-08-10 12:00:56.970860,92.1k,343,1666
2020-08-11 12:00:39.601492,92.1k,343,1666
2020-08-12 12:00:45.187108,92.1k,343,1668
2020-08-13 12:00:39.037607,92.1k,343,1670
2020-08-14 12:00:39.366676,92.2k,343,1672
2020-08-15 12:00:36.816814,92.3k,344,1672
2020-08-16 12:00:39.482444,92.3k,344,1672
2020-08-17 12:00:41.790084,92.4k,344,1672
2020-08-18 12:00:54.675675,92.4k,347,1675
2020-08-19 12:00:40.557216,92.5k,347,1677
2020-08-20 12:00:55.446565,92.6k,347,1680
2020-08-21 12:00:38.112237,92.6k,346,1683
2020-08-22 12:00:39.568104,92.6k,346,1685
2020-08-23 12:00:39.462423,92.7k,346,1686
2020-08-24 12:00:40.456425,92.7k,346,1687
2020-08-25 12:00:43.142000,92.8k,346,1689
2020-08-26 12:00:51.628559,92.8k,346,1690
2020-08-27 12:00:46.616446,92.9k,346,1691
2020-08-28 12:00:45.051972,93k,346,1691
2020-08-29 12:00:48.716752,93.1k,346,1692
